Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Giannis Antetokounmpo\antetgi01,24,72,72,32.8,10.0,17.3,.578,0.7,2.8,.256,9.3,14.5,.641,.599,6.9,9.5,.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7
2,Khris Middleton\middlkh01,27,77,77,31.1,6.6,14.9,.441,2.3,6.2,.378,4.2,8.8,.485,.519,2.8,3.4,.837,0.6,5.3,6.0,4.3,1.0,0.1,2.3,2.2,18.3
3,Eric Bledsoe\bledser01,29,78,78,29.1,6.0,12.4,.484,1.6,4.8,.329,4.4,7.6,.582,.548,2.3,3.0,.750,1.1,3.6,4.6,5.5,1.5,0.4,2.1,2.0,15.9
4,Brook Lopez\lopezbr01,30,81,81,28.7,4.4,9.7,.452,2.3,6.3,.365,2.1,3.4,.613,.571,1.4,1.6,.842,0.4,4.5,4.9,1.2,0.6,2.2,1.0,2.3,12.5
5,Malcolm Brogdon\brogdma01,26,64,64,28.6,5.9,11.7,.505,1.6,3.8,.426,4.3,7.9,.544,.575,2.2,2.4,.928,1.0,3.5,4.5,3.2,0.7,0.2,1.4,1.6,15.6
6,Nikola Mirotić\mirotni01,27,14,3,22.9,4.0,9.6,.415,2.2,6.2,.356,1.8,3.4,.521,.530,1.4,1.6,.870,1.0,4.4,5.4,1.4,0.7,0.6,0.8,1.5,11.6
7,Pat Connaughton\connapa01,26,61,2,20.7,2.7,5.7,.466,1.1,3.3,.330,1.6,2.5,.647,.560,0.5,0.7,.725,1.0,3.2,4.2,2.0,0.5,0.4,0.5,1.3,6.9
8,George Hill\hillge01,32,47,0,20.4,2.4,5.7,.428,0.7,2.7,.280,1.7,3.1,.556,.493,1.1,1.4,.815,0.6,2.0,2.6,2.1,0.9,0.1,0.7,1.4,6.8
9,D.J. Wilson\wilsodj01,22,48,3,18.4,2.2,5.2,.414,1.0,2.6,.362,1.2,2.6,.468,.506,0.5,1.0,.553,0.9,3.7,4.6,1.1,0.4,0.4,0.7,1.8,5.8
10,Ersan İlyasova\ilyaser01,31,67,7,18.4,2.5,5.7,.438,0.9,2.4,.363,1.6,3.3,.493,.514,0.9,1.1,.824,1.4,3.1,4.5,0.8,0.5,0.3,0.7,2.6,6.8
11,Sterling Brown\brownst02,23,58,7,17.8,2.5,5.4,.465,0.9,2.5,.361,1.6,2.8,.558,.550,0.5,0.7,.690,0.5,2.7,3.2,1.4,0.4,0.1,0.8,1.5,6.4
12,Tony Snell\snellto01,27,74,12,17.6,2.2,4.9,.452,1.1,2.8,.397,1.1,2.1,.522,.564,0.5,0.6,.881,0.4,1.7,2.1,0.9,0.4,0.2,0.3,1.2,6.0
13,Tim Frazier\fraziti01,28,12,2,17.6,2.3,5.5,.424,0.8,2.0,.417,1.5,3.5,.429,.500,0.8,1.1,.692,0.8,1.8,2.6,3.5,0.4,0.1,1.3,1.6,6.3
14,Donte DiVincenzo\divindo01,22,27,0,15.2,1.9,4.6,.403,0.8,3.1,.265,1.0,1.5,.683,.492,0.3,0.4,.750,0.6,1.8,2.4,1.1,0.5,0.2,0.7,1.4,4.9
15,John Henson\hensojo01,28,14,0,13.4,2.2,4.8,.463,0.8,2.2,.355,1.4,2.6,.556,.545,0.4,0.7,.600,1.1,3.9,5.1,1.0,0.5,0.8,0.9,1.1,5.6
16,Bonzie Colson\colsobo01,23,8,2,12.3,1.6,4.9,.333,0.6,2.6,.238,1.0,2.3,.444,.397,1.0,1.1,.889,1.0,2.8,3.8,0.4,0.6,0.1,0.4,0.4,4.9
17,Thon Maker\makerth01,21,35,0,11.7,1.7,3.8,.440,0.7,2.2,.333,0.9,1.6,.589,.537,0.6,1.1,.541,0.5,2.3,2.7,0.5,0.3,0.5,0.3,1.6,4.7
18,Pau Gasol\gasolpa01,38,3,0,10.0,0.3,2.0,.167,0.3,1.0,.333,0.0,1.0,.000,.250,0.3,0.7,.500,0.0,3.3,3.3,0.7,0.0,0.3,0.7,0.3,1.3
19,Matthew Dellavedova\dellama01,28,12,0,8.1,0.5,1.6,.316,0.3,0.9,.364,0.2,0.7,.250,.421,0.3,0.3,1.000,0.0,0.8,0.8,2.4,0.2,0.0,0.9,0.8,1.7
20,Isaiah Canaan\canaais01,27,4,0,7.8,0.5,1.5,.333,0.5,1.3,.400,0.0,0.3,.000,.500,0.0,0.0,,0.3,0.8,1.0,0.8,0.0,0.3,0.5,0.5,1.5
21,Jaylen Morris\morrija01,23,4,0,7.3,1.0,2.5,.400,0.3,0.8,.333,0.8,1.8,.429,.450,0.3,0.5,.500,0.0,1.3,1.3,1.0,0.5,0.0,0.3,0.3,2.5
22,Jason Smith\smithja02,32,6,0,6.7,0.7,2.2,.308,0.5,1.5,.333,0.2,0.7,.250,.423,0.3,0.3,1.000,0.5,1.3,1.8,0.2,0.3,0.3,0.8,1.0,2.2
23,Christian Wood\woodch01,23,13,0,4.8,0.9,1.9,.480,0.2,0.4,.600,0.7,1.5,.450,.540,0.8,1.2,.667,0.3,1.2,1.5,0.2,0.0,0.0,0.2,0.2,2.8
24,Trevon Duval\duvaltr01,20,3,0,2.0,0.7,1.0,.667,0.3,0.3,1.000,0.3,0.7,.500,.833,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,1.7
