Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Justin Holiday\holidju01,29,38,38,34.9,4.0,10.4,.383,2.6,7.1,.359,1.4,3.3,.435,.506,1.1,1.2,.891,0.5,3.9,4.4,2.2,1.8,0.6,1.2,2.1,11.6
2,Zach LaVine\lavinza01,23,63,62,34.5,8.4,18.0,.467,1.9,5.1,.374,6.5,12.9,.504,.520,5.0,6.0,.832,0.6,4.0,4.7,4.5,1.0,0.4,3.4,2.2,23.7
3,Otto Porter\porteot01,25,15,15,32.8,6.5,13.4,.483,2.6,5.3,.488,3.9,8.1,.479,.580,1.9,2.1,.906,0.9,4.6,5.5,2.7,1.2,0.6,1.7,1.9,17.5
4,Lauri Markkanen\markkla01,21,52,51,32.3,6.6,15.3,.430,2.3,6.4,.361,4.3,8.9,.479,.506,3.3,3.8,.872,1.4,7.6,9.0,1.4,0.7,0.6,1.6,2.3,18.7
5,JaKarr Sampson\sampsja02,25,4,0,31.8,7.3,13.5,.537,1.3,3.5,.357,6.0,10.0,.600,.583,4.3,5.3,.810,1.3,6.8,8.0,1.0,1.0,0.8,1.0,2.0,20.0
6,Kris Dunn\dunnkr01,24,46,44,30.2,4.7,11.0,.425,0.7,2.1,.354,3.9,8.9,.441,.458,1.2,1.5,.797,0.4,3.7,4.1,6.0,1.5,0.5,2.3,3.6,11.3
7,Walt Lemon\lemonwa01,26,6,3,27.8,6.3,14.5,.437,0.3,0.8,.400,6.0,13.7,.439,.448,1.3,1.8,.727,0.7,3.8,4.5,5.0,1.8,0.2,1.7,2.3,14.3
8,Jabari Parker\parkeja01,23,39,17,26.7,5.6,11.9,.474,0.9,2.9,.325,4.7,9.0,.523,.514,2.0,2.8,.731,1.1,5.1,6.2,2.2,0.6,0.4,2.2,2.2,14.3
9,Wendell Carter\cartewe01,19,44,44,25.2,4.1,8.4,.485,0.1,0.7,.188,4.0,7.7,.513,.493,2.0,2.5,.795,2.0,5.0,7.0,1.8,0.6,1.3,1.5,3.5,10.3
10,Ryan Arcidiacono\arcidry01,24,81,32,24.2,2.3,5.2,.447,1.0,2.7,.373,1.3,2.5,.527,.544,1.1,1.3,.873,0.3,2.4,2.7,3.3,0.8,0.0,0.8,2.1,6.7
11,Bobby Portis\portibo01,23,22,6,24.1,5.5,12.3,.450,1.2,3.3,.375,4.3,9.0,.477,.500,1.8,2.3,.780,2.1,5.2,7.3,1.3,0.5,0.4,1.3,2.8,14.1
12,Wayne Selden\seldewa01,24,43,13,22.9,3.0,7.5,.407,0.8,2.6,.315,2.2,4.9,.455,.461,1.0,1.5,.714,0.5,2.7,3.2,1.7,0.5,0.2,1.3,1.9,8.0
13,Robin Lopez\lopezro01,30,74,36,21.7,4.1,7.2,.568,0.1,0.4,.226,4.0,6.8,.589,.575,1.2,1.7,.724,1.9,2.0,3.9,1.2,0.1,1.1,1.3,1.7,9.5
14,Chandler Hutchison\hutchch01,22,44,14,20.3,2.2,4.8,.459,0.3,1.1,.280,1.9,3.6,.516,.493,0.5,0.9,.605,0.7,3.5,4.2,0.8,0.5,0.1,0.6,1.3,5.2
15,Shaquille Harrison\harrish01,25,73,11,19.6,2.5,5.8,.432,0.3,1.2,.270,2.2,4.6,.475,.460,1.1,1.7,.667,0.5,2.6,3.0,1.9,1.2,0.4,0.8,1.7,6.5
16,Timothé Luwawu-Cabarrot\luwawti01,23,29,6,18.8,2.4,6.0,.394,1.1,3.2,.330,1.3,2.8,.469,.483,0.9,1.2,.771,0.2,2.5,2.7,0.8,0.5,0.2,0.6,2.0,6.8
17,Cameron Payne\payneca01,24,31,12,17.3,2.2,5.4,.411,0.5,1.9,.271,1.7,3.5,.486,.458,0.7,0.8,.880,0.3,1.4,1.7,2.7,0.6,0.2,1.1,1.6,5.7
18,Brandon Sampson\sampsbr01,21,14,2,15.3,2.0,4.3,.467,0.8,2.1,.379,1.2,2.2,.548,.558,0.3,0.4,.667,0.2,0.9,1.1,0.7,0.6,0.2,0.9,1.4,5.1
19,Antonio Blakeney\blakean01,22,57,3,14.5,2.9,6.9,.419,0.6,1.6,.396,2.3,5.4,.426,.465,0.9,1.3,.658,0.1,1.7,1.9,0.7,0.2,0.2,0.6,0.7,7.3
20,Cristiano Felício\feliccr01,26,60,0,12.4,1.6,3.0,.531,0.0,0.1,.000,1.6,2.9,.543,.531,0.8,1.2,.685,1.3,2.3,3.6,0.6,0.2,0.1,0.6,1.2,4.0
21,Rawle Alkins\alkinra01,21,10,1,12.0,1.3,3.9,.333,0.3,1.2,.250,1.0,2.7,.370,.372,0.8,1.2,.667,1.1,1.5,2.6,1.3,0.1,0.0,0.8,0.7,3.7
22,Tyler Ulis\ulisty01,23,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
