Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Cedi Osman\osmande01,23,76,75,32.2,4.7,11.1,.427,1.7,4.9,.348,3.0,6.2,.489,.504,1.9,2.4,.779,0.6,4.1,4.7,2.6,0.8,0.1,1.5,2.6,13.0
2,Collin Sexton\sextoco01,20,82,72,31.8,6.3,14.7,.430,1.5,3.6,.402,4.9,11.1,.440,.480,2.6,3.1,.839,0.7,2.2,2.9,3.0,0.5,0.1,2.3,2.3,16.7
3,Alec Burks\burksal01,27,34,24,28.8,4.0,10.0,.400,1.3,3.5,.378,2.7,6.5,.412,.466,2.3,2.9,.806,0.8,4.7,5.5,2.9,0.7,0.5,1.4,1.8,11.6
4,Tristan Thompson\thomptr01,27,43,40,27.9,4.7,8.8,.529,0.0,0.0,,4.7,8.8,.529,.529,1.6,2.5,.642,4.0,6.2,10.2,2.0,0.7,0.4,1.4,2.1,10.9
5,Rodney Hood\hoodro01,26,45,45,27.4,4.3,10.1,.427,1.2,3.4,.362,3.1,6.7,.460,.488,2.3,2.5,.912,0.4,2.1,2.5,2.0,0.8,0.1,0.8,2.2,12.2
6,Jordan Clarkson\clarkjo01,26,81,0,27.3,6.5,14.6,.448,1.8,5.5,.324,4.8,9.1,.524,.509,2.0,2.4,.844,1.0,2.3,3.3,2.4,0.7,0.2,1.7,1.4,16.8
7,Kevin Love\loveke01,30,22,21,27.2,5.0,12.9,.385,2.4,6.7,.361,2.5,6.2,.412,.479,4.7,5.2,.904,1.5,9.4,10.9,2.2,0.3,0.2,1.9,2.5,17.0
8,Larry Nance\nancela02,26,67,30,26.8,3.7,7.1,.520,0.5,1.5,.337,3.2,5.7,.567,.554,1.4,2.0,.716,2.5,5.7,8.2,3.2,1.5,0.6,1.4,2.9,9.4
9,George Hill\hillge01,32,13,13,26.5,4.2,8.2,.514,1.0,2.2,.464,3.2,6.1,.532,.575,1.3,1.5,.850,0.9,1.2,2.1,2.8,0.9,0.1,1.5,2.7,10.8
10,Brandon Knight\knighbr03,27,27,26,22.9,3.3,7.9,.413,1.3,3.6,.371,1.9,4.3,.448,.498,0.7,0.9,.783,0.3,1.5,1.9,2.3,0.7,0.1,0.9,1.8,8.5
11,J.R. Smith\smithjr01,33,11,4,20.2,2.5,7.2,.342,1.1,3.5,.308,1.4,3.6,.375,.418,0.7,0.9,.800,0.0,1.6,1.6,1.9,1.0,0.3,1.0,1.7,6.7
12,Matthew Dellavedova\dellama01,28,36,0,19.9,2.6,6.2,.413,1.1,3.3,.336,1.4,2.9,.500,.502,1.1,1.3,.792,0.2,1.7,1.9,4.2,0.3,0.1,1.6,1.8,7.3
