Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Joe Harris\harrijo01,27,76,76,30.2,4.9,9.8,.500,2.4,5.1,.474,2.5,4.8,.528,.622,1.4,1.8,.827,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7
2,D'Angelo Russell\russeda01,22,81,81,30.2,8.1,18.7,.434,2.9,7.8,.369,5.2,10.9,.482,.512,2.0,2.5,.780,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1
3,Spencer Dinwiddie\dinwisp01,25,68,4,28.1,5.4,12.2,.442,1.8,5.4,.335,3.6,6.7,.528,.517,4.2,5.2,.806,0.4,2.1,2.4,4.6,0.6,0.3,2.2,2.8,16.8
4,Caris LeVert\leverca01,24,40,25,26.6,5.2,12.1,.429,1.2,3.9,.312,4.0,8.2,.483,.478,2.1,3.1,.691,0.9,2.9,3.8,3.9,1.1,0.4,1.7,1.9,13.7
5,Allen Crabbe\crabbal01,26,43,20,26.3,3.2,8.7,.367,2.3,6.0,.378,0.9,2.7,.342,.499,1.0,1.3,.732,0.4,3.1,3.4,1.1,0.5,0.3,1.1,2.4,9.6
6,Jarrett Allen\allenja01,20,80,80,26.2,4.2,7.1,.590,0.1,0.6,.133,4.1,6.5,.629,.595,2.5,3.5,.709,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9
7,DeMarre Carroll\carrode01,32,67,8,25.4,3.4,8.6,.395,1.6,4.6,.342,1.8,4.0,.457,.487,2.7,3.6,.760,1.0,4.2,5.2,1.3,0.5,0.1,1.1,1.7,11.1
8,Rondae Hollis-Jefferson\holliro01,24,59,21,20.9,3.4,8.3,.411,0.2,0.8,.184,3.2,7.4,.436,.420,2.0,3.1,.645,1.4,3.8,5.3,1.6,0.7,0.5,1.2,1.8,8.9
9,Jared Dudley\dudleja01,33,59,25,20.7,1.7,4.1,.423,0.9,2.6,.351,0.8,1.5,.545,.533,0.5,0.8,.696,0.6,2.1,2.6,1.4,0.6,0.3,0.7,2.2,4.9
10,Rodions Kurucs\kurucro01,20,63,46,20.5,3.2,7.1,.450,0.9,2.9,.315,2.3,4.2,.543,.514,1.1,1.5,.783,0.9,3.0,3.9,0.8,0.7,0.4,1.2,2.3,8.5
11,Treveon Graham\grahatr01,25,35,21,20.4,1.8,5.5,.335,1.1,3.7,.297,0.7,1.8,.413,.435,0.5,0.6,.818,0.7,2.4,3.1,1.0,0.4,0.2,0.5,1.9,5.3
12,Ed Davis\davised01,29,81,1,17.9,2.3,3.7,.616,0.0,0.0,.000,2.3,3.7,.620,.616,1.2,2.0,.617,2.7,5.9,8.6,0.8,0.4,0.4,0.8,2.8,5.8
13,Shabazz Napier\napiesh01,27,56,2,17.6,3.0,7.8,.389,1.4,4.1,.333,1.7,3.7,.449,.476,2.1,2.5,.833,0.3,1.5,1.8,2.6,0.7,0.3,1.2,1.2,9.4
14,Theo Pinson\pinsoth01,23,18,0,11.7,1.4,4.1,.342,0.7,2.6,.261,0.7,1.5,.481,.425,1.1,1.2,.864,0.2,1.8,2.0,1.2,0.3,0.0,1.0,0.8,4.5
15,Kenneth Faried\farieke01,29,12,0,9.8,2.1,3.5,.595,0.1,0.4,.200,2.0,3.1,.649,.607,0.8,1.3,.625,1.3,2.4,3.7,0.2,0.2,0.3,0.5,0.7,5.1
16,Mitch Creek\creekmi01,26,4,0,9.0,1.3,2.5,.500,0.0,0.3,.000,1.3,2.3,.556,.500,1.3,1.8,.714,1.3,1.3,2.5,1.3,0.3,0.0,0.0,0.8,3.8
17,Tahjere McCall\mccalta01,24,1,0,8.0,2.0,3.0,.667,0.0,1.0,.000,2.0,2.0,1.000,.667,0.0,1.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
18,Alan Williams\willial03,26,5,0,5.2,1.6,2.6,.615,0.0,0.2,.000,1.6,2.4,.667,.615,0.4,0.8,.500,0.8,3.0,3.8,0.6,0.2,0.0,0.2,0.4,3.6
19,Džanan Musa\musadz01,19,9,0,4.3,1.0,2.4,.409,0.1,1.1,.100,0.9,1.3,.667,.432,0.0,0.2,.000,0.1,0.4,0.6,0.2,0.2,0.0,0.4,0.1,2.1
