Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jamal Murray\murraja01,21,75,74,32.6,6.8,15.6,.437,2.0,5.5,.367,4.8,10.1,.476,.502,2.5,3.0,.848,0.9,3.4,4.2,4.8,0.9,0.4,2.1,2.0,18.2
2,Nikola Jokić\jokicni01,23,80,80,31.3,7.7,15.1,.511,1.0,3.4,.307,6.7,11.7,.569,.545,3.6,4.4,.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1
3,Gary Harris\harriga01,24,57,48,28.8,4.7,11.2,.424,1.4,4.2,.339,3.3,6.9,.476,.488,2.0,2.5,.799,0.7,2.1,2.8,2.2,1.0,0.3,1.2,2.0,12.9
4,Will Barton\bartowi01,28,43,38,27.7,4.3,10.7,.402,1.6,4.6,.342,2.7,6.1,.447,.475,1.3,1.7,.770,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5
5,Paul Millsap\millspa01,33,70,65,27.1,4.6,9.5,.484,0.8,2.3,.365,3.8,7.2,.522,.528,2.6,3.6,.727,2.2,5.0,7.2,2.0,1.2,0.8,1.4,2.6,12.6
6,Monte Morris\morrimo01,23,82,6,24.0,4.2,8.6,.493,1.1,2.8,.414,3.1,5.8,.531,.560,0.8,1.0,.802,0.4,1.9,2.4,3.6,0.9,0.0,0.6,1.2,10.4
7,Malik Beasley\beaslma01,22,81,18,23.2,4.3,9.1,.474,2.0,5.0,.402,2.3,4.1,.560,.584,0.7,0.8,.848,0.4,2.0,2.5,1.2,0.7,0.1,0.7,1.4,11.3
8,Mason Plumlee\plumlma01,28,82,17,21.1,3.2,5.4,.593,0.0,0.1,.200,3.2,5.3,.602,.595,1.4,2.4,.561,2.0,4.4,6.4,3.0,0.8,0.9,1.5,3.1,7.8
9,Torrey Craig\craigto01,28,75,37,20.0,2.1,4.8,.442,0.8,2.5,.324,1.3,2.3,.569,.526,0.7,0.9,.700,1.2,2.3,3.5,1.0,0.5,0.6,0.6,2.3,5.7
10,Juan Hernangómez\hernaju01,23,70,25,19.4,2.0,4.5,.439,0.9,2.6,.365,1.0,1.9,.541,.545,0.9,1.2,.767,0.9,2.9,3.8,0.8,0.4,0.3,0.5,1.3,5.8
11,Trey Lyles\lylestr01,23,64,2,17.5,3.2,7.7,.418,0.8,3.1,.255,2.4,4.6,.529,.470,1.3,1.8,.698,0.7,3.2,3.8,1.4,0.5,0.4,1.1,1.5,8.5
12,Isaiah Thomas\thomais02,29,12,0,15.1,2.8,8.3,.343,1.0,3.6,.279,1.8,4.7,.393,.404,1.4,2.3,.630,0.4,0.7,1.1,1.9,0.4,0.1,1.5,1.4,8.1
13,Nick Young\youngni01,33,4,0,9.3,0.8,2.3,.333,0.8,2.0,.375,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.3,0.3,0.5,0.0,0.3,0.5,1.0,2.3
14,Jarred Vanderbilt\vandeja01,19,17,0,4.1,0.5,1.1,.474,0.0,0.1,.000,0.5,1.1,.500,.474,0.4,0.6,.600,0.4,0.9,1.4,0.2,0.4,0.1,0.5,0.5,1.4
15,Tyler Lydon\lydonty01,22,25,0,3.8,0.4,0.7,.500,0.2,0.4,.400,0.2,0.3,.625,.611,0.0,0.1,.333,0.3,0.4,0.7,0.2,0.1,0.0,0.2,0.4,0.9
16,Brandon Goodwin\goodwbr01,23,16,0,3.6,0.4,1.4,.261,0.1,0.4,.333,0.3,1.1,.235,.304,0.6,0.7,.818,0.1,0.1,0.2,0.9,0.0,0.0,0.2,0.4,1.4
17,Thomas Welsh\welshth01,22,11,0,3.3,0.6,1.2,.538,0.3,0.6,.429,0.4,0.5,.667,.654,0.1,0.2,.500,0.0,0.4,0.4,0.5,0.0,0.0,0.1,0.3,1.6
18,DeVaughn Akoon-Purcell\akoonde01,25,7,0,3.1,0.4,1.4,.300,0.0,0.6,.000,0.4,0.9,.500,.300,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0
