Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Devin Booker\bookede01,22,64,64,35.0,9.2,19.6,.467,2.1,6.5,.326,7.0,13.1,.536,.521,6.1,7.1,.866,0.6,3.5,4.1,6.8,0.9,0.2,4.1,3.1,26.6
2,Trevor Ariza\arizatr01,33,26,26,34.0,3.3,8.7,.379,1.9,5.3,.360,1.4,3.4,.409,.489,1.4,1.7,.837,0.6,5.0,5.6,3.3,1.5,0.3,1.5,1.7,9.9
3,T.J. Warren\warretj01,25,43,36,31.6,6.9,14.2,.486,1.8,4.2,.428,5.1,10.0,.510,.549,2.3,2.9,.815,0.7,3.3,4.0,1.5,1.2,0.7,1.2,2.8,18.0
4,Tyler Johnson\johnsty01,26,13,12,31.2,3.5,9.6,.368,1.4,4.3,.321,2.2,5.3,.406,.440,2.6,3.0,.872,1.2,2.8,4.0,4.2,1.1,0.5,1.1,1.9,11.1
5,Deandre Ayton\aytonde01,20,71,70,30.7,7.2,12.3,.585,0.0,0.1,.000,7.2,12.2,.588,.585,2.0,2.7,.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3
6,Mikal Bridges\bridgmi01,22,82,56,29.5,3.0,6.9,.430,1.3,3.8,.335,1.7,3.0,.548,.523,1.2,1.4,.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3
7,Kelly Oubre\oubreke01,23,40,12,29.5,6.1,13.4,.453,1.7,5.2,.325,4.4,8.3,.532,.515,3.0,4.0,.761,1.2,3.7,4.9,1.6,1.4,1.0,1.8,2.8,16.9
8,Isaiah Canaan\canaais01,27,19,15,26.5,2.7,6.8,.395,1.3,3.8,.347,1.4,3.0,.456,.492,0.8,1.1,.750,0.3,2.3,2.6,3.3,0.6,0.0,1.5,2.4,7.5
9,Josh Jackson\jacksjo02,21,79,29,25.2,4.4,10.6,.413,0.9,2.8,.324,3.5,7.8,.445,.456,1.8,2.7,.671,0.8,3.6,4.4,2.3,0.9,0.7,2.2,2.6,11.5
10,De'Anthony Melton\meltode01,20,50,31,19.7,2.0,5.1,.391,0.6,1.9,.305,1.4,3.2,.441,.447,0.4,0.6,.750,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5.0
11,Jamal Crawford\crawfja01,38,64,0,18.9,2.7,6.8,.397,1.0,3.2,.332,1.7,3.7,.453,.474,1.5,1.7,.845,0.1,1.2,1.3,3.6,0.5,0.2,1.5,1.2,7.9
12,Ryan Anderson\anderry01,30,15,8,18.5,1.3,4.0,.317,0.5,2.3,.206,0.8,1.7,.462,.375,0.7,0.9,.786,0.9,2.1,3.0,1.1,0.2,0.1,0.8,1.5,3.7
13,Élie Okobo\okoboel01,21,53,16,18.1,2.2,5.5,.393,0.7,2.5,.295,1.4,3.0,.475,.460,0.7,0.9,.787,0.2,1.6,1.8,2.4,0.6,0.1,1.3,2.1,5.7
14,Dragan Bender\bendedr01,21,46,27,18.0,1.9,4.3,.447,0.5,2.2,.218,1.4,2.1,.688,.503,0.7,1.2,.593,0.7,3.2,4.0,1.2,0.4,0.5,0.8,2.0,5.0
15,Richaun Holmes\holmeri01,25,70,4,16.9,3.2,5.2,.608,0.0,0.0,,3.2,5.2,.608,.608,1.8,2.5,.731,1.6,3.1,4.7,0.9,0.6,1.1,0.7,2.8,8.2
16,Troy Daniels\danietr01,27,51,1,14.9,2.2,5.4,.411,1.5,3.8,.381,0.8,1.6,.481,.545,0.4,0.5,.783,0.3,1.2,1.4,0.5,0.5,0.1,0.5,1.5,6.2
17,Tyson Chandler\chandty01,36,7,0,12.7,1.1,1.7,.667,0.0,0.0,,1.1,1.7,.667,.667,1.4,2.6,.556,1.0,4.6,5.6,0.9,0.3,0.1,1.0,3.0,3.7
18,Quincy Acy\acyqu01,28,10,0,12.3,0.4,1.8,.222,0.2,1.5,.133,0.2,0.3,.667,.278,0.7,1.0,.700,0.3,2.2,2.5,0.8,0.1,0.4,0.4,2.4,1.7
19,Ray Spalding\spaldra01,21,13,3,11.3,1.9,3.6,.532,0.0,0.2,.000,1.9,3.4,.568,.532,0.3,0.9,.333,1.2,2.5,3.7,0.4,0.7,0.6,0.7,1.8,4.2
20,Jimmer Fredette\fredeji01,29,6,0,10.8,1.3,4.8,.276,0.0,2.2,.000,1.3,2.7,.500,.276,1.0,1.0,1.000,0.2,1.0,1.2,1.3,0.5,0.0,0.8,0.8,3.7
21,Emanuel Terry\terryem01,22,2,0,10.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.5,1.0,.500,1.0,2.0,3.0,0.5,1.5,0.0,1.0,2.0,4.5
22,Jawun Evans\evansja01,22,7,0,9.1,0.4,1.9,.231,0.0,0.3,.000,0.4,1.6,.273,.231,0.0,0.0,,0.1,1.6,1.7,1.4,0.4,0.0,0.9,1.1,0.9
23,George King\kingge03,25,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Eric Moreland\moreler01,27,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
