Name,Team,G,TRB,AST,PTS/G
Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
Khris Middleton,Bucks,77,6.0,4.3,18.3
Zach LaVine,Bulls,63,4.7,4.5,23.7
Lauri Markkanen,Bulls,52,9.0,1.4,18.7
Kyrie Irving,Celtics,67,5.0,6.9,23.8
Tobias Harris,Clippers,55,7.9,2.7,20.9
Lou Williams,Clippers,75,3.0,5.4,20.0
Danilo Gallinari,Clippers,68,6.1,2.6,19.8
Mike Conley,Grizzlies,70,3.4,6.4,21.1
John Collins,Hawks,61,9.8,2.0,19.5
Trae Young,Hawks,81,3.7,8.1,19.1
Kemba Walker,Hornets,82,4.4,5.9,25.6
Donovan Mitchell,Jazz,77,4.1,4.2,23.8
Buddy Hield,Kings,82,5.0,2.5,20.7
Tim Hardaway,Knicks,46,3.5,2.7,19.1
LeBron James,Lakers,55,8.5,8.3,27.4
Kyle Kuzma,Lakers,70,5.5,2.5,18.7
Brandon Ingram,Lakers,52,5.1,3.0,18.3
Nikola Vučević,Magic,80,12.0,3.8,20.8
Luka Dončić,Mavs,72,7.8,6.0,21.2
D'Angelo Russell,Nets,81,3.9,7.0,21.1
Nikola Jokić,Nuggets,80,10.8,7.3,20.1
Anthony Davis,Pelicans,56,12.0,3.9,25.9
Julius Randle,Pelicans,73,8.7,3.1,21.4
Jrue Holiday,Pelicans,67,5.0,7.7,21.2
Blake Griffin,Pistons,75,7.5,5.4,24.5
Kawhi Leonard,Raptors,60,7.3,3.3,26.6
James Harden,Rockets,78,6.6,7.5,36.1
Joel Embiid,Sixers,64,13.6,3.7,27.5
LaMarcus Aldridge,Spurs,81,9.2,2.4,21.3
DeMar DeRozan,Spurs,77,6.0,6.2,21.2
Devin Booker,Suns,64,4.1,6.8,26.6
Paul George,Thunder,77,8.2,4.1,28.0
Russell Westbrook,Thunder,73,11.1,10.7,22.9
Damian Lillard,Trailblazers,80,4.6,6.9,25.8
CJ McCollum,Trailblazers,70,4.0,3.0,21.0
Karl-Anthony Towns,Twolves,77,12.4,3.4,24.4
Stephen Curry,Warriors,69,5.3,5.2,27.3
Kevin Durant,Warriors,78,6.4,5.9,26.0
Klay Thompson,Warriors,78,3.8,2.4,21.5
Bradley Beal,Wizards,82,5.0,5.5,25.6
Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
Lauri Markkanen,Bulls,52,9.0,1.4,18.7
Larry Nance,Cavs,67,8.2,3.2,9.4
Tobias Harris,Clippers,55,7.9,2.7,20.9
Marc Gasol,Grizzlies,53,8.6,4.7,15.7
John Collins,Hawks,61,9.8,2.0,19.5
Dewayne Dedmon,Hawks,64,7.5,1.4,10.8
Hassan Whiteside,Heat,72,11.3,0.8,12.3
Bam Adebayo,Heat,82,7.3,2.2,8.9
Rudy Gobert,Jazz,81,12.9,2.0,15.9
Derrick Favors,Jazz,76,7.4,1.2,11.8
Marvin Bagley,Kings,62,7.6,1.0,14.9
Willie Cauley-Stein,Kings,81,8.4,2.4,11.9
Noah Vonleh,Knicks,68,7.8,1.9,8.4
LeBron James,Lakers,55,8.5,8.3,27.4
JaVale McGee,Lakers,75,7.5,0.7,12.0
Nikola Vučević,Magic,80,12.0,3.8,20.8
Aaron Gordon,Magic,78,7.4,3.7,16.0
Luka Dončić,Mavs,72,7.8,6.0,21.2
DeAndre Jordan,Mavs,50,13.7,2.0,11.0
Ed Davis,Nets,81,8.6,0.8,5.8
Jarrett Allen,Nets,80,8.4,1.4,10.9
Nikola Jokić,Nuggets,80,10.8,7.3,20.1
Domantas Sabonis,Pacers,74,9.3,2.9,14.1
Anthony Davis,Pelicans,56,12.0,3.9,25.9
Julius Randle,Pelicans,73,8.7,3.1,21.4
Blake Griffin,Pistons,75,7.5,5.4,24.5
Andre Drummond,Pistons,79,15.6,1.4,17.3
Kawhi Leonard,Raptors,60,7.3,3.3,26.6
Serge Ibaka,Raptors,74,8.1,1.3,15.0
Clint Capela,Rockets,67,12.7,1.4,16.6
Joel Embiid,Sixers,64,13.6,3.7,27.5
Ben Simmons,Sixers,79,8.8,7.7,16.9
LaMarcus Aldridge,Spurs,81,9.2,2.4,21.3
Deandre Ayton,Suns,71,10.3,1.8,16.3
Paul George,Thunder,77,8.2,4.1,28.0
Russell Westbrook,Thunder,73,11.1,10.7,22.9
Steven Adams,Thunder,80,9.5,1.6,13.9
Jusuf Nurkić,Trailblazers,72,10.4,3.2,15.6
Al-Farouq Aminu,Trailblazers,81,7.5,1.3,9.4
Karl-Anthony Towns,Twolves,77,12.4,3.4,24.4
Draymond Green,Warriors,66,7.3,6.9,7.4
Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
Eric Bledsoe,Bucks,78,4.6,5.5,15.9
Zach LaVine,Bulls,63,4.7,4.5,23.7
Kris Dunn,Bulls,46,4.1,6.0,11.3
Kyrie Irving,Celtics,67,5.0,6.9,23.8
Lou Williams,Clippers,75,3.0,5.4,20.0
Mike Conley,Grizzlies,70,3.4,6.4,21.1
Marc Gasol,Grizzlies,53,8.6,4.7,15.7
Trae Young,Hawks,81,3.7,8.1,19.1
Kemba Walker,Hornets,82,4.4,5.9,25.6
Ricky Rubio,Jazz,68,3.6,6.1,12.7
Joe Ingles,Jazz,82,4.0,5.7,12.1
De'Aaron Fox,Kings,81,3.8,7.3,17.3
LeBron James,Lakers,55,8.5,8.3,27.4
Rajon Rondo,Lakers,46,5.3,8.0,9.2
Lonzo Ball,Lakers,47,5.3,5.4,9.9
D.J. Augustin,Magic,81,2.5,5.3,11.7
Luka Dončić,Mavs,72,7.8,6.0,21.2
D'Angelo Russell,Nets,81,3.9,7.0,21.1
Spencer Dinwiddie,Nets,68,2.4,4.6,16.8
Nikola Jokić,Nuggets,80,10.8,7.3,20.1
Jamal Murray,Nuggets,75,4.2,4.8,18.2
Darren Collison,Pacers,76,3.1,6.0,11.2
Jrue Holiday,Pelicans,67,5.0,7.7,21.2
Blake Griffin,Pistons,75,7.5,5.4,24.5
Kyle Lowry,Raptors,65,4.8,8.7,14.2
Fred VanVleet,Raptors,64,2.6,4.8,11.0
James Harden,Rockets,78,6.6,7.5,36.1
Chris Paul,Rockets,58,4.6,8.2,15.6
Ben Simmons,Sixers,79,8.8,7.7,16.9
DeMar DeRozan,Spurs,77,6.0,6.2,21.2
Devin Booker,Suns,64,4.1,6.8,26.6
Russell Westbrook,Thunder,73,11.1,10.7,22.9
Damian Lillard,Trailblazers,80,4.6,6.9,25.8
Tyus Jones,Twolves,68,2.0,4.8,6.9
Stephen Curry,Warriors,69,5.3,5.2,27.3
Kevin Durant,Warriors,78,6.4,5.9,26.0
Draymond Green,Warriors,66,7.3,6.9,7.4
Bradley Beal,Wizards,82,5.0,5.5,25.6
Tomáš Satoranský,Wizards,80,3.5,5.0,8.9
