,Name,Team,G,TRB,AST,PTS/G
0,Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
1,Zach LaVine,Bulls,63,4.7,4.5,23.7
2,Kyrie Irving,Celtics,67,5.0,6.9,23.8
3,Lou Williams,Clippers,75,3.0,5.4,20.0
4,Mike Conley,Grizzlies,70,3.4,6.4,21.1
5,Trae Young,Hawks,81,3.7,8.1,19.1
6,Kemba Walker,Hornets,82,4.4,5.9,25.6
7,LeBron James,Lakers,55,8.5,8.3,27.4
8,Luka Dončić,Mavs,72,7.8,6.0,21.2
9,D'Angelo Russell,Nets,81,3.9,7.0,21.1
10,Nikola Jokić,Nuggets,80,10.8,7.3,20.1
11,Jrue Holiday,Pelicans,67,5.0,7.7,21.2
12,Blake Griffin,Pistons,75,7.5,5.4,24.5
13,James Harden,Rockets,78,6.6,7.5,36.1
14,DeMar DeRozan,Spurs,77,6.0,6.2,21.2
15,Devin Booker,Suns,64,4.1,6.8,26.6
16,Russell Westbrook,Thunder,73,11.1,10.7,22.9
17,Damian Lillard,Trailblazers,80,4.6,6.9,25.8
18,Stephen Curry,Warriors,69,5.3,5.2,27.3
19,Kevin Durant,Warriors,78,6.4,5.9,26.0
20,Bradley Beal,Wizards,82,5.0,5.5,25.6
