,Name,Team,G,TRB,AST,PTS/G
0,Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
1,Lauri Markkanen,Bulls,52,9.0,1.4,18.7
2,Tobias Harris,Clippers,55,7.9,2.7,20.9
3,John Collins,Hawks,61,9.8,2.0,19.5
4,LeBron James,Lakers,55,8.5,8.3,27.4
5,Nikola Vučević,Magic,80,12.0,3.8,20.8
6,Luka Dončić,Mavs,72,7.8,6.0,21.2
7,Nikola Jokić,Nuggets,80,10.8,7.3,20.1
8,Julius Randle,Pelicans,73,8.7,3.1,21.4
9,Anthony Davis,Pelicans,56,12.0,3.9,25.9
10,Blake Griffin,Pistons,75,7.5,5.4,24.5
11,Kawhi Leonard,Raptors,60,7.3,3.3,26.6
12,Joel Embiid,Sixers,64,13.6,3.7,27.5
13,LaMarcus Aldridge,Spurs,81,9.2,2.4,21.3
14,Paul George,Thunder,77,8.2,4.1,28.0
15,Russell Westbrook,Thunder,73,11.1,10.7,22.9
16,Karl-Anthony Towns,Twolves,77,12.4,3.4,24.4
